Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
County,Roane County,TN,Roane County,NA,7.908141962
County,Routt County,CO,Routt County,NA,8.615176675
County,Rowan County,KY,Rowan County,NA,0.132489451
County,Rowan County,NC,Rowan County,NA,6.964335664
County,Salem City,VA,Salem City,NA,3.841493268
County,Sarpy County,NE,Sarpy County,NA,4.678675755
County,Scott County,IA,Scott County,NA,2.227272727
County,Scott County,IN,Scott County,NA,5.003659652
County,Scott County,KS,Scott County,NA,-0.487726788
County,Scott County,KY,Scott County,NA,4.483140148
County,Scott County,MN,Scott County,NA,4.257094595
County,Scott County,VA,Scott County,NA,0.947556615
County,Smith County,KS,Smith County,NA,-15.02850356
County,Smith County,TN,Smith County,NA,4.808695652
County,Smith County,TX,Smith County,NA,3.743209877
County,Smyth County,VA,Smyth County,NA,0.217280813
County,Stark County,OH,Stark County,NA,-1.035313002
County,Starr County,TX,Starr County,NA,-2.953147877
County,Stone County,AR,Stone County,NA,4.271157168
County,Stone County,MO,Stone County,NA,2.065099458
County,Stone County,MS,Stone County,NA,1.668122271
County,Story County,IA,Story County,NA,-0.245402299
County,Surry County,NC,Surry County,NA,4.411311054
County,Taney County,MO,Taney County,NA,5.86894198
County,Teton County,ID,Teton County,NA,7.353242758
County,Teton County,MT,Teton County,NA,0.222808174
County,Teton County,WY,Teton County,NA,-2.235948116
County,Tioga County,NY,Tioga County,NA,-0.73625498
County,Titus County,TX,Titus County,NA,0.516806723
County,Toole County,MT,Toole County,NA,-0.344039971
County,Towns County,GA,Towns County,NA,7.284026465
County,Trego County,KS,Trego County,NA,0.294378698
County,Trigg County,KY,Trigg County,NA,-0.012059369
County,Troup County,GA,Troup County,NA,7.418664384
County,Tulsa County,OK,Tulsa County,NA,1.03164557
County,Tyler County,TX,Tyler County,NA,1.511285574
County,Uinta County,WY,Uinta County,NA,-3.416584887
County,Union County,GA,Union County,NA,6.86939379
County,Union County,IN,Union County,NA,14.76909091
County,Union Parish,LA,Union Parish,NA,2.667889908
County,Union County,MS,Union County,NA,1.793708409
County,Union County,NC,Union County,NA,2.115205421
County,Union County,NJ,Union County,NA,3.536235955
County,Union County,NM,Union County,NA,0.657264957
County,Union County,OH,Union County,NA,1.56195122
County,Union County,OR,Union County,NA,5.639686684
County,Union County,SC,Union County,NA,-6.005338078
County,Union County,TN,Union County,NA,4.116913484
County,Upson County,GA,Upson County,NA,4.708049113
County,Vance County,NC,Vance County,NA,1.041049031
County,Vilas County,WI,Vilas County,NA,-0.445554971
County,Walsh County,ND,Walsh County,NA,0.413301663
County,Wasco County,OR,Wasco County,NA,5.904238619
County,Wayne County,IN,Wayne County,NA,2.500535906
County,Wayne County,MI,Wayne County,NA,5.314565483
County,Wayne County,MS,Wayne County,NA,0.285860656
County,Wayne County,NC,Wayne County,NA,2.790322581
County,Wayne County,NY,Wayne County,NA,6.560830861
County,Wayne County,OH,Wayne County,NA,1.900409277
County,Wayne County,PA,Wayne County,NA,6.637844612
County,Wayne County,TN,Wayne County,NA,1.341309824
County,Wayne County,WV,Wayne County,NA,-2.768574909
County,Weber County,UT,Weber County,NA,7.95810956
County,Wells County,IN,Wells County,NA,4.825242718
County,White County,AR,White County,NA,5.29597947
County,White County,GA,White County,NA,4.618732782
County,White County,IN,White County,NA,3.384681583
County,White County,TN,White County,NA,2.884892086
County,Wythe County,VA,Wythe County,NA,-0.357432981
County,Yates County,NY,Yates County,NA,0.777316736
County,Young County,TX,Young County,NA,1.309815951
County,Acadia Parish,LA,Acadia Parish,NA,-0.409240924
County,Aitkin County,MN,Aitkin County,NA,1.39793578
County,Albany County,NY,Albany County,NA,0.078104432
County,Albany County,WY,Albany County,NA,2.140768588
County,Alcorn County,MS,Alcorn County,NA,3.125714286
County,Alpena County,MI,Alpena County,NA,3.128143713
County,Amador County,CA,Amador County,NA,-0.451211526
County,Andrew County,MO,Andrew County,NA,3.685208597
County,Antrim County,MI,Antrim County,NA,4.08531746
County,Apache County,AZ,Apache County,NA,4.036555143
County,Archer County,TX,Archer County,NA,-4.948461538
County,Arenac County,MI,Arenac County,NA,-3.600644122
County,Asotin County,WA,Asotin County,NA,-1.018660287
County,Athens County,OH,Athens County,NA,-1.020363636
County,Austin County,TX,Austin County,NA,1.952839269
County,Barber County,KS,Barber County,NA,-0.467908903
County,Barnes County,ND,Barnes County,NA,0.598187311
County,Barron County,WI,Barron County,NA,3.976870748
