County,State,Year,Price
Frederick,MD,2015,159.91666666666666
Arlington,VA,2015,429.75
Charles,MD,2015,133.08333333333334
Stafford,VA,2015,148.0
Spotsylvania,VA,2015,131.16666666666666
Montgomery,VA,2015,105.0
Calvert,MD,2015,167.66666666666666
Frederick,VA,2015,132.0
Fauquier,VA,2015,174.0
Culpeper,VA,2015,129.33333333333334
Warren,VA,2015,135.91666666666666
Jefferson,WA,2015,183.08333333333334
Fredericksburg City,VA,2015,142.75
Fairfax City,VA,2015,265.8333333333333
Manassas Park City,VA,2015,174.91666666666666
Clarke,VA,2015,156.66666666666666
Falls Church City,VA,2015,384.4166666666667
Fairfax,VA,2016,280.3333333333333
Montgomery,MD,2016,255.33333333333334
Prince Georges,MD,2016,161.66666666666666
District of Columbia,DC,2016,457.25
Prince William,VA,2016,185.08333333333334
Loudoun,VA,2016,209.66666666666666
Frederick,MD,2016,164.33333333333334
Arlington,VA,2016,441.1666666666667
Charles,MD,2016,138.41666666666666
Stafford,VA,2016,151.75
Spotsylvania,VA,2016,137.5
Montgomery,VA,2016,107.41666666666667
Calvert,MD,2016,168.75
Frederick,VA,2016,130.91666666666666
Fauquier,VA,2016,178.66666666666666
Culpeper,VA,2016,134.16666666666666
Warren,VA,2016,140.75
Jefferson,WA,2016,202.0
Fredericksburg City,VA,2016,138.33333333333334
Fairfax City,VA,2016,270.3333333333333
Manassas Park City,VA,2016,178.5
Clarke,VA,2016,154.58333333333334
Falls Church City,VA,2016,390.8333333333333
Fairfax,VA,2017,287.25
Montgomery,MD,2017,262.1666666666667
Prince Georges,MD,2017,171.83333333333334
District of Columbia,DC,2017,485.25
Prince William,VA,2017,192.75
Loudoun,VA,2017,217.58333333333334
Frederick,MD,2017,170.66666666666666
Arlington,VA,2017,454.5833333333333
Charles,MD,2017,146.08333333333334
Stafford,VA,2017,158.5
Spotsylvania,VA,2017,145.33333333333334
Montgomery,VA,2017,113.16666666666667
Calvert,MD,2017,176.0
Frederick,VA,2017,137.25
Fauquier,VA,2017,186.25
Culpeper,VA,2017,140.5
Warren,VA,2017,147.75
Jefferson,WA,2017,218.66666666666666
Fredericksburg City,VA,2017,139.08333333333334
Fairfax City,VA,2017,274.9166666666667
Manassas Park City,VA,2017,185.58333333333334
Clarke,VA,2017,162.08333333333334
Falls Church City,VA,2017,410.75
Fairfax,VA,2018,297.3333333333333
Montgomery,MD,2018,270.5833333333333
Prince Georges,MD,2018,184.0
District of Columbia,DC,2018,504.75
Prince William,VA,2018,201.16666666666666
Loudoun,VA,2018,226.58333333333334
Frederick,MD,2018,177.83333333333334
Arlington,VA,2018,469.0
Charles,MD,2018,154.41666666666666
Stafford,VA,2018,164.75
Spotsylvania,VA,2018,154.08333333333334
Montgomery,VA,2018,119.58333333333333
Calvert,MD,2018,185.25
Frederick,VA,2018,144.58333333333334
Fauquier,VA,2018,194.58333333333334
Culpeper,VA,2018,146.5
Warren,VA,2018,153.41666666666666
Jefferson,WA,2018,233.75
Fredericksburg City,VA,2018,143.33333333333334
Fairfax City,VA,2018,279.5833333333333
Manassas Park City,VA,2018,194.08333333333334
Clarke,VA,2018,169.08333333333334
Falls Church City,VA,2018,419.75
